instnm,Applicants total (ADM2015),
Geisinger-Lewistown Hospital School of Nursing,58,
Gemini School of Visual Arts & Communication,7,
Geneva College,1678,
George Fox University,2903,
George Mason University,21981,
George Washington University,19837,
Georgetown College,2145,
Georgetown University,19478,
Georgia College and State University,3968,
Georgia Institute of Technology-Main Campus,27277,
Georgia Southern University,10098,
Georgia Southwestern State University,1167,
Georgia State University,13970,
Georgia State University-Perimeter College,9056,
Georgian Court University,1322,
Gettysburg College,6386,
Glenville State College,1429,
Global Health College,23,
Gnomon School of Visual Effects,11,
Goddard College,12,
Goldey-Beacom College,774,
Gonzaga University,6729,
Good Samaritan College of Nursing and Health Science,83,
Gordon College,1832,
Gordon State College,2480,
Goshen College,797,
Goucher College,3576,
Governors State University,1114,
Grace Bible College,364,
Grace College and Theological Seminary,3789,
Grace College of Divinity,36,
Grace University,220,
Graceland University-Lamoni,2159,
Grambling State University,3584,
Grand Canyon University,34475,
Grand River Technical School,54,
Grand Valley State University,16989,
Grand View University,784,
Greater Lowell Technical School,8,
Green Mountain College,825,
Greene County Career and Technology Center,18,
Greensboro College,1095,
Greenville College,1901,
Grinnell College,6414,
Grove City College,1541,
Guilford College,2782,
Gustavus Adolphus College,4657,
Gwynedd Mercy University,1146,
Hamilton College,5434,
Hamline University,3995,
Hampden-Sydney College,3683,
Hampshire College,2071,
Hampton University,10258,
Hannah E Mullins School of Practical Nursing,3,
Hannibal-LaGrange University,785,
Hanover College,3355,
Hardin-Simmons University,1595,
Harding University,1503,
Harrison College-Grove City,82,
Harrison College-Indianapolis,840,
Harrison College-Morrisville,70,
Hartwick College,2692,
Harvard University,37307,
Harvey Mudd College,4119,
Haskell Indian Nations University,327,
Hastings College,1688,
Haverford College,3467,
Hawaii Pacific University,3449,
Hawkeye Community College,3693,
Health Works Institute,24,
Healthcare Training Institute,29,
Hebrew Theological College,403,
Heidelberg University,1147,
Henderson State University,3786,
Hendrix College,1714,
Henrico County-Saint Marys Hospital School of Practical Nursing,31,
Heritage Christian University,10,
Herzing University-Akron,99,
Herzing University-Atlanta,212,
Herzing University-Birmingham,109,
Herzing University-Brookfield,46,
Herzing University-Kenner,71,
Herzing University-Kenosha,65,
Herzing University-Madison,432,
Herzing University-Minneapolis,41,
Herzing University-Toledo,71,
Herzing University-Winter Park,16,
High Point University,10910,
Hilbert College,743,
Hillsdale College,1859,
Hillyard Technical Center,60,
Hiram College,1864,
Hiwassee College,418,
Hobart William Smith Colleges,4457,
Hodges University,167,
Hofstra University,27991,
Hollins University,2233,
Holy Cross College,638,
Holy Family University,1328,
Holy Name Medical Center School of Nursing,30,
Holy Names University,872,
Hondros College of Nursing,236,
Hood College,1636,
Hope College,4420,
Hope International University,1051,
Houghton College,773,
Houston Baptist University,14519,
Howard Payne University,956,
Howard University,15163,
Humboldt State University,13018,
Huntingdon College,1839,
Huntingdon County Career and Technology Center,28,
Huntington University,945,
Hussian College School of Art,126,
Hussian College-Relativity Campus California,142,
Husson University,2066,
Huston-Tillotson University,2210,
Illinois College,2431,
Illinois Institute of Technology,4403,
Illinois State University,12139,
Illinois Wesleyan University,3744,
